Date,Check #,Description,Amount
2024-01-01,1001,Electricity Bill,150.00
2024-01-05,1002,Internet Service,70.00
2024-01-08,1003,Grocery Shopping,85.25
2024-01-12,1004,Restaurant Dinner,45.50
2024-01-15,1005,Gasoline,40.20
2024-01-19,1006,Clothing Store,75.60
2024-01-22,1007,Phone Bill,60.00
2024-01-25,1008,Car Maintenance,200.00
2024-01-29,1009,Movie Tickets,25.00
2024-02-02,1010,Health Insurance,120.00
2024-02-05,1011,Internet Service,70.00
2024-02-09,1012,Grocery Shopping,85.25
2024-02-12,1013,Restaurant Dinner,45.50
2024-02-16,1014,Gasoline,40.20
2024-02-19,1015,Books,30.00
2024-02-23,1016,Phone Bill,60.00
2024-02-26,1017,Car Insurance,150.00
2024-03-01,1018,Electricity Bill,150.00
2024-03-05,1019,Internet Service,70.00
2024-03-08,1020,Grocery Shopping,85.25
2024-03-12,1021,Restaurant Dinner,45.50
2024-03-15,1022,Gasoline,40.20
2024-03-19,1023,Clothing Store,75.60
2024-03-22,1024,Phone Bill,60.00
2024-03-25,1025,Car Maintenance,200.00
2024-03-29,1026,Movie Tickets,25.00
2024-04-02,1027,Health Insurance,120.00
2024-04-05,1028,Internet Service,70.00
2024-04-09,1029,Grocery Shopping,85.25
2024-04-12,1030,Restaurant Dinner,45.50
2024-04-16,1031,Gasoline,40.20
2024-04-19,1032,Books,30.00
2024-04-23,1033,Phone Bill,60.00
2024-04-26,1034,Car Insurance,150.00
2024-04-30,1035,Electricity Bill,150.00
2024-05-03,1036,Internet Service,70.00
2024-05-07,1037,Grocery Shopping,85.25
2024-05-10,1038,Restaurant Dinner,45.50
2024-05-14,1039,Gasoline,40.20
2024-05-17,1040,Clothing Store,75.60
2024-05-21,1041,Phone Bill,60.00
2024-05-24,1042,Car Maintenance,200.00
2024-05-28,1043,Movie Tickets,25.00
2024-06-01,1044,Health Insurance,120.00
2024-06-04,1045,Internet Service,70.00
